id,name,symbol,dedust,stonfi
EQAmixWvMs3jQaWhrvACOsVcyj4RsdLxihXtjmFMBdC9alH2,,,True,False
EQBiJ8dSbp3_YAb_KuC64zCrFqQTsFbUee5tbzr5el_HEDGE,HEDGE coin,HEDGE,True,True
EQDfNtnqOIfwafP2HXcS3r2TuZo0nEVwCVcIOvYYW4uc5qYr,,,True,False
EQDvhRpWdAkFxFIG-OYp0VxW7TkhmBLsfT8hgIuZOXwmZ5Xe,,,True,True
EQBsAhNuRDD0fpjYiuh-UvGprZx6QjyzJm85pbC8dBOrHN9l,,,True,False
EQCd6SIdX5M-QeDju0o6k6YQ28Yln9UXqQ820hswEo9y31aS,,,True,False
EQBlHnYC0Uk13_WBK4PN-qjB2TiiXixYDTe7EjX17-IV-0eF,Ton Invaders Coin,INC,True,False
EQA_6JR8irRIFKu9VSjPA92TvwK6ceAxTOBye7qmjOKUQUr3,,,True,False
EQD_KpO2-iFeHPT4dF0ur9E0iAFts2fwhpR2KjwAmYKpccvH,ЖЮ,LIFEYT,True,False
EQCQZpelevHNsbw5IUtwSa4Cs8kqWww0KsYeDri9kwS18eCz,DYOR Coin,DYOR,True,True
EQBQ1K-SmGGT_VHoHS5FWu3pw31NVuZB7R9KuaOn7rAUUCXt,,,True,False
EQCD0IYsHo3Xk4xmDuBsCCZUG38rTw6P1iySUXx7EsDp-XDQ,,,True,False
EQDb04Bl1-RNDbU0UlepRw7e5YjX6z1hkFz8QuIRgjQndBqi,,,True,True
EQBiCaeZ0t-w-lF3e9Hi3BGb2W1Jf17wxVS334Bg1SabAP5d,,,True,False
EQAs48D_xazDT34A1u5MlTg07iRuTjs94XLeBxNwYsFhYjtE,,,True,True
EQBkkGq9-5GWGG7cucWtOad8wcQe3aXHWD3KaFx6aoIueIHr,,,True,False
EQB_5YOVkUeQ77QDQSlJnc-xbX9ipVyeoZ0QqG-ttQA6cQdX,,,True,False
EQBPbWh9bDLHNEqFGQHZB5BXszg1XcpiHM8eRVpL9LEfBB7r,,,True,False
EQAgmgpFnJsuGyM2YLmTEbt-Do7w-wxWfUgHdE9zxog8HC-m,,,True,True
EQAXg2q_hA1skVNA4l0gdyTuG2rvlc1tU2peRNsRI6SghfKY,,,True,False
EQCKACJaXZ2ifG1m3NMv-H2b7fuEmX5Xcd1blEvbdNUoKTdv,,,True,False
EQDNDv54v_TEU5t26rFykylsdPQsv5nsSZaH_v7JSJPtMitv,Tonnel Network Token,TONNEL,True,True
EQD_c23wCODJgymW1BVIXvBsU78PaN3u0m_z_sWT9lFK46CZ,,,True,False
EQBUqYG6KuWC_owVxJ884dQA833_nX6-OTqX4rOeBhzEMoyl,,,True,False
EQBSOCWUpJ3cPu1MmSF6z93R5r6qBBAMgm8UZ20Hn_w34wx9,,,True,False
EQCBdxpECfEPH2wUxi1a6QiOkSf-5qDjUWqLCUuKtD-GLINT,Glint Coin,GLINT,True,True
EQCu9qafFYH1tbvBCsVg6QQwPbLinzQ27HKkr0Tb4WSobXI-,MONK,MONK,True,True
EQCZI_SsqwwBYreEKi81rdSqGHbZA6QhOwjd_wQi2mnDedD0,,,True,False
EQC-6loVmYZ5mLrrR4pF5HkS8m2f3hR-FDDpf1RlUeR7kQF5,,,True,False
EQAykjxTWtPur59crHaHAznkuXOYqu0mZbmfwOY07QQVM3Nm,,,True,False
EQDqQscohYilSqWEyeLyCReOQKOh7KhRX_CPlD-Qdx02tUbG,Vincere,VC,True,True
EQAJ7SFzvWOOmePtCfw8XH9NfaJMYr_IFUfOQlssjjVCST_C,,,True,True
EQBeraTIRj7t1J9g80TH-ziHo31X04szN1BfplQrIVDk293-,,,True,False
EQB2_kyA-OEYIvXzYCkDcJkYVL08WPO9TQtQGLv7ET7t4TAY,,,True,False
