source,target,label
0,3591,-14.956043812383086
0,3595,-9.960001932068081
0,3610,-11.829182266149555
0,3184,-12.34817901198384
0,1872,
0,2591,-14.734061967954386
0,3712,-1.7962803875087903
0,1970,-22.76739615376885
0,329,-14.123574300252194
0,3758,-16.609640474436812
0,698,-6.349157150164181
0,20,-39.55973740445003
0,3804,-9.255068698105513
0,3812,-28.390914620672557
0,3864,6.795230578791516
0,438,-18.305867549631788
0,3590,-9.881113960675096
0,3893,18.035934746193664
0,3895,-8.221096472965625
0,3899,
0,3900,-8.360211032025099
0,3905,-12.613276360276787
0,2363,-6.572837949221061
0,482,-32.63431844815247
0,3422,-1.1456053222468994
0,3967,-10.127442598611825
0,3971,
0,3624,19.925836912954317
0,4000,-8.581200581924957
0,484,18.143470486356755
0,551,-9.596479213056712
0,4032,-9.219168520462162
0,4093,-13.758569395916533
0,286,-5.143656368296949
0,474,0.6466746868259696
0,474,8.404680918539281
0,4157,-4.737054866243835
0,4163,-30.20098805166138
0,3197,-11.340744063246177
0,3683,-22.71160372401144
0,917,-11.976171999470692
0,4250,11.10600176866815
0,537,-19.579420388745778
0,26,-1.5303592055767077
0,4008,-9.879583249612784
0,4305,-9.965784284662087
0,4312,-9.707359132080883
0,25,-23.620792133567054
0,4449,-15.711048512421835
0,4498,11.711696021030159
0,57,-7.516367117975634
0,4517,-15.930850404586236
0,2680,-16.770818724516623
0,4609,-6.795940632937774
0,4105,-25.191070768977777
0,197,-2.7228852799102397
0,4620,-9.014020470314934
0,4621,-8.965784284662087
0,210,-26.897097451499025
0,4670,
0,1812,
0,485,-8.490094429453265
0,1501,-73.60596546368316
0,1137,27.56964241374734
0,1759,-14.85846562364777
0,4744,
0,3785,-10.704914486271397
0,4608,-1.8934210494449657
0,4803,-20.10760240587358
0,4839,-16.928345392348522
0,505,4.879145605125614
0,4858,0.4019230954155707
0,4863,-6.50635266602479
0,4524,-51.42957462172973
0,4884,
0,976,-9.965784284662087
0,3217,-4.994230943153015
0,4926,-9.76487159073609
0,4726,-16.609640474436812
0,1615,-19.08483762140885
0,2300,-6.515836318352498
0,5065,-64.263252200704
0,358,-7.955865859032466
0,631,-10.433298345471423
0,223,-13.48287356627872
0,3147,-5.154236070653224
0,587,-32.85470111926042
0,3148,-10.214115086432045
0,3292,-13.7474632180012
0,3342,-14.06213669959477
0,346,7.260153553758606
0,5256,-23.61676141769384
0,5280,-10.572788019577647
0,5288,-7.0412820223901145
0,1657,-11.079268070996207
0,4336,-8.234751616393135
0,5335,-8.578489788283646
0,5352,-11.198912708717168
0,2046,-9.914385132155443
0,4714,-17.198886223800795
0,2349,-8.257387842692651
0,3532,
0,5522,-25.858581260201753
0,4530,-5.562566163128208
0,5573,1.4825320073531285
0,5603,-24.374412681942285
0,5611,9.965784284662087
0,5613,-11.79644525906185
0,254,-29.234038898532617
0,5715,-16.21074926101308
0,5728,-20.071718976208732
0,5776,-3.048363021561399
0,5791,9.011227255423254
0,1563,-1.2555458315951271
0,5826,-13.086405988420593
0,711,-18.398561164241382
0,5836,-4.539158811108031
0,4965,17.23835808685304
0,1414,-17.56125678811216
0,1222,
0,5881,4.963874575324093
0,4038,-23.070017930318127
0,5922,-18.54933605477737
0,1598,-29.13163008648632
0,5987,-10.999022682981545
0,928,3.6507356621596174
0,309,-12.232548194452324
0,277,-7.860614073882044
0,328,-14.66576559612182
0,278,-54.130812373286936
0,5268,-11.390420184868239
0,6086,20.777880538527278
0,759,-6.691622938587436
0,5584,-6.252299962557683
0,6097,12.280488777025854
0,6101,-9.965784284662087
0,4293,-2.797244268333832
0,6104,-7.768184324776926
0,2994,-24.269247737850407
0,6115,10.960725994839057
0,6124,-18.94155054394172
0,6136,-8.080817527608327
0,173,-1.6081728186652555
0,6167,-9.409390936137703
0,3710,5.830520339223766
0,5648,-18.79140165882296
0,6230,-47.0726646291694
0,6257,-9.824958740528523
0,513,-0.8172025684891446
0,1472,-6.500570313430783
0,5056,-19.26467183852468
0,3662,-8.900866807980748
0,6285,-11.68391629924918
0,1378,-6.716100559123756
0,3194,-5.946254838492516
0,6309,-21.40054147880052
0,5832,-81.44890553024686
0,6389,-32.19890221937822
0,6396,-8.664708754325687
0,3151,-29.891570515877145
0,4150,-11.501399654382048
0,5876,-9.965784284662087
0,6477,-22.001442838107476
0,3547,-10.686538132082074
0,6525,-11.02164771928238
0,773,-2.0354646806548033
0,217,-16.697126866781574
0,6542,-9.116343961237469
